ModuleColor	Gene
black	Bradi3g18820.8
black	Bradi3g19180.1
black	Bradi3g19310.1
black	Bradi3g19640.1
black	Bradi3g19640.2
black	Bradi3g19640.3
black	Bradi3g20520.1
black	Bradi3g20720.1
black	Bradi3g21640.1
black	Bradi3g22680.1
black	Bradi3g25370.2
black	Bradi3g25370.3
black	Bradi3g26800.1
black	Bradi3g27400.1
black	Bradi3g28780.3
black	Bradi3g30027.2
black	Bradi3g30070.1
black	Bradi3g30070.3
black	Bradi3g30400.1
black	Bradi3g30500.1
black	Bradi3g32100.1
black	Bradi3g34400.1
black	Bradi3g34517.2
black	Bradi3g34910.1
black	Bradi3g34920.1
black	Bradi3g34940.1
black	Bradi3g35510.3
black	Bradi3g36130.1
black	Bradi3g36420.2
black	Bradi3g36420.3
black	Bradi3g38400.1
black	Bradi3g38527.3
black	Bradi3g38580.1
black	Bradi3g38777.1
black	Bradi3g38777.3
black	Bradi3g38777.4
black	Bradi3g40190.6
black	Bradi3g41860.1
black	Bradi3g42050.3
black	Bradi3g42420.1
black	Bradi3g42590.1
black	Bradi3g42920.1
black	Bradi3g43137.2
black	Bradi3g43137.3
black	Bradi3g43137.4
black	Bradi3g43137.5
black	Bradi3g43137.6
black	Bradi3g45840.1
black	Bradi3g46200.1
black	Bradi3g46200.2
black	Bradi3g46220.1
black	Bradi3g46747.1
black	Bradi3g46880.1
black	Bradi3g47880.1
black	Bradi3g47890.8
black	Bradi3g47910.1
black	Bradi3g47910.2
black	Bradi3g48110.1
black	Bradi3g48680.1
black	Bradi3g48680.2
black	Bradi3g50200.1
black	Bradi3g50440.1
black	Bradi3g50450.1
black	Bradi3g52400.1
black	Bradi3g52400.2
black	Bradi3g52760.3
black	Bradi3g55190.1
black	Bradi3g55230.2
black	Bradi3g55310.1
black	Bradi3g55310.2
black	Bradi3g55530.1
black	Bradi3g55660.1
black	Bradi3g57600.1
black	Bradi3g58290.1
black	Bradi3g59057.1
black	Bradi3g59057.3
black	Bradi3g59130.1
black	Bradi3g60180.4
black	Bradi3g60470.1
black	Bradi3g60920.1
black	Bradi4g00410.1
black	Bradi4g01117.2
black	Bradi4g02060.2
black	Bradi4g03150.1
black	Bradi4g03820.1
black	Bradi4g04360.1
black	Bradi4g04360.2
black	Bradi4g04360.3
black	Bradi4g04360.4
black	Bradi4g04360.5
black	Bradi4g06980.1
black	Bradi4g07167.1
black	Bradi4g07167.2
black	Bradi4g07167.3
black	Bradi4g07167.4
black	Bradi4g07440.3
black	Bradi4g08030.1
black	Bradi4g08050.1
black	Bradi4g08050.2
black	Bradi4g08250.2
black	Bradi4g08500.2
black	Bradi4g08500.3
black	Bradi4g08500.4
black	Bradi4g08800.1
black	Bradi4g09125.1
black	Bradi4g11590.2
black	Bradi4g16020.1
black	Bradi4g17260.1
black	Bradi4g19010.1
black	Bradi4g26354.5
black	Bradi4g28160.2
black	Bradi4g30000.1
black	Bradi4g31040.1
black	Bradi4g31110.3
black	Bradi4g31110.4
black	Bradi4g31257.1
black	Bradi4g31937.2
black	Bradi4g32690.1
black	Bradi4g33850.1
black	Bradi4g33850.2
black	Bradi4g33850.3
black	Bradi4g33899.2
black	Bradi4g33907.2
black	Bradi4g34022.1
black	Bradi4g34790.1
black	Bradi4g36050.1
black	Bradi4g36517.2
black	Bradi4g37040.2
black	Bradi4g37040.3
black	Bradi4g37555.1
black	Bradi4g37555.2
black	Bradi4g38140.2
black	Bradi4g38140.3
black	Bradi4g38140.4
black	Bradi4g38200.1
black	Bradi4g38440.6
black	Bradi4g38440.7
black	Bradi4g38440.8
black	Bradi4g39130.1
black	Bradi4g39130.2
black	Bradi4g39227.4
black	Bradi4g39227.6
black	Bradi4g39630.1
black	Bradi4g40580.1
black	Bradi4g40580.2
black	Bradi4g40800.1
black	Bradi4g40870.2
black	Bradi4g41820.1
black	Bradi4g42950.1
black	Bradi4g43580.2
black	Bradi4g44445.1
black	Bradi4g44820.1
black	Bradi4g44960.1
black	Bradi4g45037.1
black	Bradi5g00600.1
black	Bradi5g00750.1
black	Bradi5g01880.1
black	Bradi5g01950.1
black	Bradi5g02090.2
black	Bradi5g02300.2
black	Bradi5g02490.1
black	Bradi5g02490.2
black	Bradi5g02990.3
black	Bradi5g03290.2
black	Bradi5g04070.1
black	Bradi5g04080.1
black	Bradi5g07390.1
black	Bradi5g08240.1
black	Bradi5g08240.2
black	Bradi5g08820.1
black	Bradi5g09200.1
black	Bradi5g10777.1
black	Bradi5g12100.1
black	Bradi5g12330.1
black	Bradi5g12330.2
black	Bradi5g12680.2
black	Bradi5g12680.3
black	Bradi5g13400.1
black	Bradi5g13400.2
black	Bradi5g13400.3
black	Bradi5g13400.4
black	Bradi5g13570.1
black	Bradi5g13656.1
black	Bradi5g13656.2
black	Bradi5g14070.2
black	Bradi5g14120.1
black	Bradi5g14210.1
black	Bradi5g15655.1
black	Bradi5g16170.1
black	Bradi5g16740.1
black	Bradi5g18390.1
black	Bradi5g18857.2
black	Bradi5g20012.1
black	Bradi5g20012.2
black	Bradi5g20177.1
black	Bradi5g20980.1
black	Bradi5g23437.1
black	Bradi5g23790.1
black	Bradi5g24550.2
black	Bradi5g24550.3
black	Bradi5g24550.4
black	Bradi5g24950.6
black	Bradi5g24950.7
black	Bradi5g24950.8
black	Bradi5g24960.1
black	Bradi5g24967.2
black	Bradi5g25660.1
black	Bradi5g25930.1
black	Bradi5g26460.1
black	Bradi5g27602.1
blue	Bradi1g00690.1
blue	Bradi1g01100.1
blue	Bradi1g03690.1
blue	Bradi1g03760.1
blue	Bradi1g03790.1
blue	Bradi1g04150.1
blue	Bradi1g04790.1
blue	Bradi1g06050.1
blue	Bradi1g06190.1
blue	Bradi1g06300.1
blue	Bradi1g06372.1
blue	Bradi1g06980.4
blue	Bradi1g06980.6
blue	Bradi1g06980.7
blue	Bradi1g07120.1
blue	Bradi1g07237.1
blue	Bradi1g07277.1
blue	Bradi1g07650.1
blue	Bradi1g07840.1
blue	Bradi1g07870.1
blue	Bradi1g07930.1
blue	Bradi1g08106.2
blue	Bradi1g08106.3
blue	Bradi1g08930.1
blue	Bradi1g09090.1
blue	Bradi1g09150.1
blue	Bradi1g09350.2
blue	Bradi1g09350.3
blue	Bradi1g09350.4
blue	Bradi1g09350.5
blue	Bradi1g09350.6
blue	Bradi1g09410.1
blue	Bradi1g09570.1
blue	Bradi1g10260.1
blue	Bradi1g10347.1
blue	Bradi1g10347.2
blue	Bradi1g10410.2
blue	Bradi1g11250.1
blue	Bradi1g11280.1
blue	Bradi1g11817.2
blue	Bradi1g11817.3
blue	Bradi1g12580.1
blue	Bradi1g12850.1
blue	Bradi1g12870.2
blue	Bradi1g12870.4
blue	Bradi1g12920.2
blue	Bradi1g12940.1
blue	Bradi1g13232.1
blue	Bradi1g14110.1
blue	Bradi1g14250.1
blue	Bradi1g14250.2
blue	Bradi1g14250.3
blue	Bradi1g14250.9
blue	Bradi1g14900.1
blue	Bradi1g14983.2
blue	Bradi1g15680.1
blue	Bradi1g15680.2
blue	Bradi1g16500.1
blue	Bradi1g16500.2
blue	Bradi1g17900.1
blue	Bradi1g18595.1
blue	Bradi1g19120.1
blue	Bradi1g19340.1
blue	Bradi1g20240.1
blue	Bradi1g20260.1
blue	Bradi1g20340.1
blue	Bradi1g20350.1
blue	Bradi1g20390.1
blue	Bradi1g20390.2
blue	Bradi1g20390.3
blue	Bradi1g20460.1
blue	Bradi1g21310.2
blue	Bradi1g21590.1
blue	Bradi1g21610.1
blue	Bradi1g23257.2
blue	Bradi1g24140.1
blue	Bradi1g24200.1
blue	Bradi1g24240.1
blue	Bradi1g24240.2
blue	Bradi1g25070.1
blue	Bradi1g25370.1
blue	Bradi1g25370.2
blue	Bradi1g25564.1
blue	Bradi1g25810.1
blue	Bradi1g26020.1
blue	Bradi1g26300.6
blue	Bradi1g26840.1
blue	Bradi1g27370.1
blue	Bradi1g28090.2
blue	Bradi1g28190.1
blue	Bradi1g28390.1
blue	Bradi1g28390.3
blue	Bradi1g29410.1
blue	Bradi1g30150.1
blue	Bradi1g30230.2
blue	Bradi1g30350.1
blue	Bradi1g30870.1
blue	Bradi1g31050.1
blue	Bradi1g31695.2
blue	Bradi1g31700.1
blue	Bradi1g31700.3
blue	Bradi1g31700.4
blue	Bradi1g31700.5
blue	Bradi1g32060.1
blue	Bradi1g32460.1
blue	Bradi1g32630.1
blue	Bradi1g33050.1
blue	Bradi1g34700.1
blue	Bradi1g34820.1
blue	Bradi1g34820.2
blue	Bradi1g34900.1
blue	Bradi1g34970.1
blue	Bradi1g35920.1
blue	Bradi1g35920.2
blue	Bradi1g36430.1
blue	Bradi1g38210.1
blue	Bradi1g39270.1
blue	Bradi1g42640.1
blue	Bradi1g44137.4
blue	Bradi1g44170.1
blue	Bradi1g44390.1
blue	Bradi1g44470.1
blue	Bradi1g44680.1
blue	Bradi1g44690.1
blue	Bradi1g44700.1
blue	Bradi1g44700.2
blue	Bradi1g45050.1
blue	Bradi1g45090.1
blue	Bradi1g45727.1
blue	Bradi1g45910.1
blue	Bradi1g45950.1
blue	Bradi1g46470.1
blue	Bradi1g46630.1
blue	Bradi1g46640.2
blue	Bradi1g46730.1
blue	Bradi1g47017.3
blue	Bradi1g47320.1
blue	Bradi1g47320.2
blue	Bradi1g47710.1
blue	Bradi1g48320.1
blue	Bradi1g50120.1
blue	Bradi1g50170.1
blue	Bradi1g51020.1
blue	Bradi1g51800.1
blue	Bradi1g53170.1
blue	Bradi1g53300.1
blue	Bradi1g53770.1
blue	Bradi1g54390.2
blue	Bradi1g55120.1
blue	Bradi1g55310.1
blue	Bradi1g55650.1
blue	Bradi1g55720.1
blue	Bradi1g56120.1
blue	Bradi1g56680.1
blue	Bradi1g56990.1
blue	Bradi1g58400.1
blue	Bradi1g58470.1
blue	Bradi1g58470.4
blue	Bradi1g58720.1
blue	Bradi1g59030.1
blue	Bradi1g59030.2
blue	Bradi1g59030.3
blue	Bradi1g60700.1
blue	Bradi1g60700.3
blue	Bradi1g60817.1
blue	Bradi1g60970.1
blue	Bradi1g61170.1
blue	Bradi1g61973.1
blue	Bradi1g62890.6
blue	Bradi1g62950.1
blue	Bradi1g63270.3
blue	Bradi1g63480.1
